"","outcome","predictor","std_beta","conf_low","conf_high","p_value","p.correct","sig_label"
"146","WMV","PGRS: Bipolar Disorder",0.00393361623784441,-0.021823701649221,0.0296909341249098,0.764723992691525,0.836416867006356,""
"147","WMV","PGRS: Major Depressive Disorder",0.0170712982683573,-0.0086645429518028,0.0428071394885174,0.19371192670253,0.294081301851369,""
"148","WMV","PGRS: Obsessive-Compulsive Disorder",-0.00959253044453938,-0.0353662912664916,0.0161812303774128,0.465800795797234,0.592892686143075,""
"149","WMV","PGRS: Schizophrenia",0.00246900084522087,-0.0233017227035675,0.0282397243940092,0.851069759853011,0.913725202296178,""
"150","WMV","PGRS: Alzheimer's Disease",0.0120007030739264,-0.0137537834707133,0.0377551896185661,0.3612039085902,0.501672095264166,""
"151","Brain Age","Weather: 10 metre wind speed",-0.00324453321508637,-0.00661106366513904,0.000121997234966306,0.0589091010964401,0.101069536194873,""
"152","Brain Age","Weather: Surface net short-wave radiation flux",0.0126228669211273,0.00980236300639389,0.0154433708358607,1.84743140201875e-18,4.89849235383759e-18,"*"
"153","Brain Age","Weather: 2 metre temperature",0.0134387007676535,0.0106191155883335,0.0162582859469734,1.0090373188047e-20,2.94302551318036e-20,"*"
"154","Brain Age","Weather: 10 metre U wind component",0.00833439580517534,0.00495568966106087,0.0117131019492898,1.3394914568353e-06,2.82422897525515e-06,"*"
"155","Brain Age","Weather: 10 metre V wind component",-0.00668556528723935,-0.0095506307557808,-0.00382049981869789,4.81376549177991e-06,9.79545303559865e-06,"*"
"156","Brain Age","Weather: Surface pressure",-0.00102332213882953,-0.00426953849276997,0.00222289421511091,0.536678660356552,0.666090535903522,""
